"FuelType","Aspiration","NumDoors","BodyStyle","DriveWheels","Length","Width","Height","Weight","EngineSize","Horsepower","PeakRPM","Citympg","Price","HighLoss"
"gas","std","four","sedan","fwd",176.6,66.2,54.3,2337,109,102,5500,24,13950,"Yes"
"gas","std","four","sedan","4wd",176.6,66.4,54.3,2824,136,115,5500,18,17450,"Yes"
"gas","std","four","sedan","fwd",192.7,71.4,55.7,2844,136,110,5500,19,17710,"Yes"
"gas","turbo","four","sedan","fwd",192.7,71.4,55.9,3086,131,140,5500,17,23875,"Yes"
"gas","std","two","sedan","rwd",176.8,64.8,54.3,2395,108,101,5800,23,16430,"Yes"
"gas","std","four","sedan","rwd",176.8,64.8,54.3,2395,108,101,5800,23,16925,"Yes"
"gas","std","two","sedan","rwd",176.8,64.8,54.3,2710,164,121,4250,21,20970,"Yes"
"gas","std","four","sedan","rwd",176.8,64.8,54.3,2765,164,121,4250,21,21105,"Yes"
"gas","std","two","hatchback","fwd",141.1,60.3,53.2,1488,61,48,5100,47,5151,"Yes"
"gas","std","two","hatchback","fwd",155.9,63.6,52,1874,90,70,5400,38,6295,"No"
"gas","std","four","sedan","fwd",158.8,63.6,52,1909,90,70,5400,38,6575,"No"
"gas","std","two","hatchback","fwd",157.3,63.8,50.8,1876,90,68,5500,37,5572,"No"
"gas","std","two","hatchback","fwd",157.3,63.8,50.8,1876,90,68,5500,31,6377,"No"
"gas","turbo","two","hatchback","fwd",157.3,63.8,50.8,2128,98,102,5500,24,7957,"No"
"gas","std","four","hatchback","fwd",157.3,63.8,50.6,1967,90,68,5500,31,6229,"Yes"
"gas","std","four","sedan","fwd",157.3,63.8,50.6,1989,90,68,5500,31,6692,"Yes"
"gas","std","four","sedan","fwd",157.3,63.8,50.6,1989,90,68,5500,31,7609,"Yes"
"gas","std","four","wagon","fwd",174.6,64.6,59.8,2535,122,88,5000,24,8921,"No"
"gas","turbo","two","hatchback","fwd",173.2,66.3,50.2,2811,156,145,5000,19,12964,"Yes"
"gas","std","two","hatchback","fwd",144.6,63.9,50.8,1713,92,58,4800,49,6479,"Yes"
"gas","std","two","hatchback","fwd",144.6,63.9,50.8,1819,92,76,6000,31,6855,"Yes"
"gas","std","two","hatchback","fwd",150,64,52.6,1837,79,60,5500,38,5399,"No"
"gas","std","two","hatchback","fwd",150,64,52.6,1940,92,76,6000,30,6529,"No"
"gas","std","two","hatchback","fwd",150,64,52.6,1956,92,76,6000,30,7129,"No"
"gas","std","four","sedan","fwd",163.4,64,54.5,2010,92,76,6000,30,7295,"No"
"gas","std","four","wagon","fwd",157.1,63.9,58.3,2024,92,76,6000,30,7295,"No"
"gas","std","two","hatchback","fwd",167.5,65.2,53.3,2236,110,86,5800,27,7895,"No"
"gas","std","two","hatchback","fwd",167.5,65.2,53.3,2289,110,86,5800,27,9095,"No"
"gas","std","four","sedan","fwd",175.4,65.2,54.1,2304,110,86,5800,27,8845,"No"
"gas","std","four","sedan","fwd",175.4,62.5,54.1,2372,110,86,5800,27,10295,"No"
"gas","std","four","sedan","fwd",175.4,65.2,54.1,2465,110,101,5800,24,12945,"No"
"gas","std","two","sedan","fwd",169.1,66,51,2293,110,100,5500,25,10345,"No"
"gas","std","four","sedan","rwd",199.6,69.6,52.8,4066,258,176,4750,15,32250,"Yes"
"gas","std","two","hatchback","fwd",159.1,64.2,54.1,1890,91,68,5000,30,5195,"No"
"gas","std","two","hatchback","fwd",159.1,64.2,54.1,1900,91,68,5000,31,6095,"No"
"gas","std","two","hatchback","fwd",159.1,64.2,54.1,1905,91,68,5000,31,6795,"No"
"gas","std","four","sedan","fwd",166.8,64.2,54.1,1945,91,68,5000,31,6695,"No"
"gas","std","four","sedan","fwd",166.8,64.2,54.1,1950,91,68,5000,31,7395,"No"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2380,70,101,6000,17,10945,"Yes"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2380,70,101,6000,17,11845,"Yes"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2385,70,101,6000,17,13645,"Yes"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2500,80,135,6000,16,15645,"Yes"
"gas","std","two","hatchback","fwd",177.8,66.5,53.7,2385,122,84,4800,26,8845,"Yes"
"gas","std","four","sedan","fwd",177.8,66.5,55.5,2410,122,84,4800,26,8495,"No"
"gas","std","two","hatchback","fwd",177.8,66.5,53.7,2385,122,84,4800,26,10595,"Yes"
"gas","std","four","sedan","fwd",177.8,66.5,55.5,2410,122,84,4800,26,10245,"No"
"gas","std","four","hatchback","fwd",177.8,66.5,55.5,2425,122,84,4800,26,11245,"No"
"gas","std","four","sedan","rwd",175,66.1,54.4,2670,140,120,5000,19,18280,"No"
"diesel","turbo","four","sedan","rwd",190.9,70.3,56.5,3515,183,123,4350,22,25552,"No"
"diesel","turbo","four","wagon","rwd",190.9,70.3,58.7,3750,183,123,4350,22,28248,"No"
"diesel","turbo","two","hardtop","rwd",187.5,70.3,54.9,3495,183,123,4350,22,28176,"No"
"diesel","turbo","four","sedan","rwd",202.6,71.7,56.3,3770,183,123,4350,22,31600,"No"
"gas","std","two","convertible","rwd",180.3,70.5,50.8,3685,234,155,4750,16,35056,"Yes"
"gas","std","two","hatchback","fwd",157.3,64.4,50.8,1918,92,68,5500,37,5389,"Yes"
"gas","std","two","hatchback","fwd",157.3,64.4,50.8,1944,92,68,5500,31,6189,"Yes"
"gas","std","two","hatchback","fwd",157.3,64.4,50.8,2004,92,68,5500,31,6669,"Yes"
"gas","turbo","two","hatchback","fwd",157.3,63.8,50.8,2145,98,102,5500,24,7689,"Yes"
"gas","turbo","two","hatchback","fwd",173,65.4,49.4,2370,110,116,5500,23,9959,"Yes"
"gas","std","two","hatchback","fwd",173,65.4,49.4,2328,122,88,5000,25,8499,"Yes"
"gas","std","four","sedan","fwd",172.4,65.4,51.6,2365,122,88,5000,25,6989,"Yes"
"gas","std","four","sedan","fwd",172.4,65.4,51.6,2405,122,88,5000,25,8189,"Yes"
"gas","turbo","four","sedan","fwd",172.4,65.4,51.6,2403,110,116,5500,23,9279,"Yes"
"gas","std","four","sedan","fwd",172.4,65.4,51.6,2403,110,116,5500,23,9279,"Yes"
"gas","std","two","sedan","fwd",165.3,63.8,54.5,1889,97,69,5200,31,5499,"Yes"
"diesel","std","two","sedan","fwd",165.3,63.8,54.5,2017,103,55,4800,45,7099,"Yes"
"gas","std","two","sedan","fwd",165.3,63.8,54.5,1918,97,69,5200,31,6649,"Yes"
"gas","std","four","sedan","fwd",165.3,63.8,54.5,1938,97,69,5200,31,6849,"Yes"
"gas","std","four","wagon","fwd",170.2,63.8,53.5,2024,97,69,5200,31,7349,"No"
"gas","std","two","sedan","fwd",165.3,63.8,54.5,1951,97,69,5200,31,7299,"Yes"
"gas","std","two","hatchback","fwd",165.6,63.8,53.3,2028,97,69,5200,31,7799,"Yes"
"gas","std","four","sedan","fwd",165.3,63.8,54.5,1971,97,69,5200,31,7499,"Yes"
"gas","std","four","wagon","fwd",170.2,63.8,53.5,2037,97,69,5200,31,7999,"No"
"gas","std","two","hardtop","fwd",162.4,63.8,53.3,2008,97,69,5200,31,8249,"Yes"
"gas","std","four","hatchback","fwd",173.4,65.2,54.7,2324,120,97,5200,27,8949,"No"
"gas","std","four","sedan","fwd",173.4,65.2,54.7,2302,120,97,5200,27,9549,"No"
"gas","std","four","sedan","fwd",181.7,66.5,55.1,3095,181,152,5200,17,13499,"Yes"
"gas","std","four","wagon","fwd",184.6,66.5,56.1,3296,181,152,5200,17,14399,"No"
"gas","std","four","sedan","fwd",184.6,66.5,55.1,3060,181,152,5200,19,13499,"No"
"gas","std","two","hatchback","rwd",170.7,67.9,49.7,3071,181,160,5200,19,17199,"Yes"
"gas","turbo","two","hatchback","rwd",170.7,67.9,49.7,3139,181,200,5200,17,19699,"Yes"
"gas","std","two","hatchback","rwd",178.5,67.9,49.7,3139,181,160,5200,19,18399,"Yes"
"gas","std","four","sedan","rwd",186.7,68.4,56.7,3020,120,97,5000,19,11900,"Yes"
"diesel","turbo","four","sedan","rwd",186.7,68.4,56.7,3197,152,95,4150,28,13200,"Yes"
"gas","std","four","sedan","rwd",186.7,68.4,56.7,3075,120,95,5000,19,15580,"Yes"
"diesel","turbo","four","sedan","rwd",186.7,68.4,56.7,3252,152,95,4150,28,16900,"Yes"
"gas","std","four","sedan","rwd",186.7,68.4,56.7,3075,120,97,5000,19,16630,"Yes"
"diesel","turbo","four","sedan","rwd",186.7,68.4,56.7,3252,152,95,4150,28,17950,"Yes"
"gas","turbo","four","sedan","rwd",186.7,68.3,56,3130,134,142,5600,18,18150,"Yes"
"gas","std","two","hatchback","fwd",157.3,63.8,50.8,1918,90,68,5500,37,5572,"No"
"gas","turbo","two","hatchback","fwd",157.3,63.8,50.8,2128,98,102,5500,24,7957,"No"
"gas","std","four","hatchback","fwd",157.3,63.8,50.6,1967,90,68,5500,31,6229,"Yes"
"gas","std","four","sedan","fwd",167.3,63.8,50.8,1989,90,68,5500,31,6692,"Yes"
"gas","std","four","sedan","fwd",167.3,63.8,50.8,2191,98,68,5500,31,7609,"Yes"
"gas","std","four","wagon","fwd",174.6,64.6,59.8,2535,122,88,5000,24,8921,"No"
"gas","std","two","hatchback","rwd",168.9,68.3,50.2,2778,151,143,5500,19,22018,"Yes"
"gas","std","two","hatchback","fwd",186.6,66.5,56.1,2658,121,110,5250,21,11850,"Yes"
"gas","std","four","sedan","fwd",186.6,66.5,56.1,2695,121,110,5250,21,12170,"No"
"gas","std","two","hatchback","fwd",186.6,66.5,56.1,2707,121,110,5250,21,15040,"Yes"
"gas","std","four","sedan","fwd",186.6,66.5,56.1,2758,121,110,5250,21,15510,"No"
"gas","turbo","two","hatchback","fwd",186.6,66.5,56.1,2808,121,160,5500,19,18150,"Yes"
"gas","turbo","four","sedan","fwd",186.6,66.5,56.1,2847,121,160,5500,19,18620,"No"
"gas","std","two","hatchback","fwd",156.9,63.4,53.7,2050,97,69,4900,31,5118,"No"
"gas","std","two","hatchback","fwd",157.9,63.6,53.7,2120,108,73,4400,26,7053,"No"
"gas","std","two","hatchback","4wd",157.3,63.8,55.7,2240,108,73,4400,26,7603,"No"
"gas","std","four","sedan","fwd",172,65.4,52.5,2145,108,82,4800,32,7126,"No"
"gas","std","four","sedan","fwd",172,65.4,52.5,2190,108,82,4400,28,7775,"No"
"gas","std","four","sedan","fwd",172,65.4,52.5,2340,108,94,5200,26,9960,"No"
"gas","std","four","sedan","4wd",172,65.4,54.3,2385,108,82,4800,24,9233,"No"
"gas","turbo","four","sedan","4wd",172,65.4,54.3,2510,108,111,4800,24,11259,"No"
"gas","std","four","wagon","fwd",173.5,65.4,53,2290,108,82,4800,28,7463,"No"
"gas","std","four","wagon","fwd",173.5,65.4,53,2455,108,94,5200,25,10198,"No"
"gas","std","four","wagon","4wd",173.6,65.4,54.9,2420,108,82,4800,23,8013,"No"
"gas","turbo","four","wagon","4wd",173.6,65.4,54.9,2650,108,111,4800,23,11694,"No"
"gas","std","two","hatchback","fwd",158.7,63.6,54.5,1985,92,62,4800,35,5348,"No"
"gas","std","two","hatchback","fwd",158.7,63.6,54.5,2040,92,62,4800,31,6338,"No"
"gas","std","four","hatchback","fwd",158.7,63.6,54.5,2015,92,62,4800,31,6488,"No"
"gas","std","four","wagon","fwd",169.7,63.6,59.1,2280,92,62,4800,31,6918,"No"
"gas","std","four","wagon","4wd",169.7,63.6,59.1,2290,92,62,4800,27,7898,"No"
"gas","std","four","wagon","4wd",169.7,63.6,59.1,3110,92,62,4800,27,8778,"No"
"gas","std","four","sedan","fwd",166.3,64.4,53,2081,98,70,4800,30,6938,"No"
"gas","std","four","hatchback","fwd",166.3,64.4,52.8,2109,98,70,4800,30,7198,"No"
"diesel","std","four","sedan","fwd",166.3,64.4,53,2275,110,56,4500,34,7898,"No"
"diesel","std","four","hatchback","fwd",166.3,64.4,52.8,2275,110,56,4500,38,7788,"No"
"gas","std","four","sedan","fwd",166.3,64.4,53,2094,98,70,4800,38,7738,"No"
"gas","std","four","hatchback","fwd",166.3,64.4,52.8,2122,98,70,4800,28,8358,"No"
"gas","std","four","sedan","fwd",166.3,64.4,52.8,2140,98,70,4800,28,9258,"No"
"gas","std","two","sedan","rwd",168.7,64,52.6,2169,98,70,4800,29,8058,"Yes"
"gas","std","two","hatchback","rwd",168.7,64,52.6,2204,98,70,4800,29,8238,"Yes"
"gas","std","two","sedan","rwd",168.7,64,52.6,2265,98,112,6600,26,9298,"Yes"
"gas","std","two","hatchback","rwd",168.7,64,52.6,2300,98,112,6600,26,9538,"Yes"
"gas","std","two","hardtop","rwd",176.2,65.6,52,2540,146,116,4800,24,8449,"Yes"
"gas","std","two","hardtop","rwd",176.2,65.6,52,2536,146,116,4800,24,9639,"Yes"
"gas","std","two","hatchback","rwd",176.2,65.6,52,2551,146,116,4800,24,9989,"Yes"
"gas","std","two","hardtop","rwd",176.2,65.6,52,2679,146,116,4800,24,11199,"Yes"
"gas","std","two","hatchback","rwd",176.2,65.6,52,2714,146,116,4800,24,11549,"Yes"
"gas","std","two","convertible","rwd",176.2,65.6,53,2975,146,116,4800,24,17669,"Yes"
"gas","std","four","sedan","fwd",175.6,66.5,54.9,2326,122,92,4200,29,8948,"No"
"diesel","turbo","four","sedan","fwd",175.6,66.5,54.9,2480,110,73,4500,30,10698,"No"
"gas","std","four","hatchback","fwd",175.6,66.5,53.9,2414,122,92,4200,27,9988,"No"
"gas","std","four","sedan","fwd",175.6,66.5,54.9,2414,122,92,4200,27,10898,"No"
"gas","std","four","hatchback","fwd",175.6,66.5,53.9,2458,122,92,4200,27,11248,"No"
"gas","std","two","hatchback","rwd",183.5,67.7,52,2976,171,161,5200,20,16558,"Yes"
"gas","std","two","hatchback","rwd",183.5,67.7,52,3016,171,161,5200,19,15998,"Yes"
"gas","std","four","sedan","rwd",187.8,66.5,54.1,3131,171,156,5200,20,15690,"No"
"diesel","std","two","sedan","fwd",171.7,65.5,55.7,2261,97,52,4800,37,7775,"Yes"
"gas","std","two","sedan","fwd",171.7,65.5,55.7,2209,109,85,5250,27,7975,"Yes"
"diesel","std","four","sedan","fwd",171.7,65.5,55.7,2264,97,52,4800,37,7995,"No"
"gas","std","four","sedan","fwd",171.7,65.5,55.7,2212,109,85,5250,27,8195,"No"
"gas","std","four","sedan","fwd",171.7,65.5,55.7,2275,109,85,5250,27,8495,"No"
"diesel","turbo","four","sedan","fwd",171.7,65.5,55.7,2319,97,68,4500,37,9495,"No"
"gas","std","four","sedan","fwd",171.7,65.5,55.7,2300,109,100,5500,26,9995,"No"
"gas","std","two","hatchback","fwd",165.7,64,51.4,2221,109,90,5500,24,9980,"Yes"
"gas","std","four","sedan","rwd",188.8,67.2,56.2,2912,141,114,5400,23,12940,"No"
"gas","std","four","wagon","rwd",188.8,67.2,57.5,3034,141,114,5400,23,13415,"No"
"gas","std","four","sedan","rwd",188.8,67.2,56.2,2935,141,114,5400,24,15985,"No"
"gas","std","four","wagon","rwd",188.8,67.2,57.5,3042,141,114,5400,24,16515,"No"
"gas","turbo","four","sedan","rwd",188.8,67.2,56.2,3045,130,162,5100,17,18420,"No"
"gas","turbo","four","wagon","rwd",188.8,67.2,57.5,3157,130,162,5100,17,18950,"No"
"gas","std","four","sedan","rwd",188.8,68.9,55.5,2952,141,114,5400,23,16845,"No"
"gas","turbo","four","sedan","rwd",188.8,68.8,55.5,3049,141,160,5300,19,19045,"No"
"gas","std","four","sedan","rwd",188.8,68.9,55.5,3012,173,134,5500,18,21485,"No"
"diesel","turbo","four","sedan","rwd",188.8,68.9,55.5,3217,145,106,4800,26,22470,"No"
"gas","turbo","four","sedan","rwd",188.8,68.9,55.5,3062,141,114,5400,19,22625,"No"
