Survived,Male,Child,FareBtw10..20,FareBtw20..30,Fare30+,ClassThree,ClassTwo
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,1,1,0,1,0,1,0
1,0,0,1,0,0,1,0
1,0,1,0,0,1,0,1
1,0,1,1,0,0,1,0
1,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,1,0
0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1
0,1,1,0,1,0,1,0
1,1,0,1,0,0,0,1
0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,1
1,1,0,1,0,0,0,1
1,0,1,0,0,0,1,0
1,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0
1,0,0,0,0,1,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0
0,1,0,1,0,0,0,1
0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0
1,0,1,1,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0
1,0,1,0,0,1,0,1
1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0
1,0,0,0,0,0,1,0
0,1,0,0,1,0,1,0
0,0,0,1,0,0,1,0
0,1,1,0,0,1,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0
1,0,1,0,1,0,0,1
0,1,1,0,0,1,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,1,0,1,0,1,0
0,1,0,0,1,0,0,0
1,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0
1,0,1,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,1
0,0,1,0,0,1,1,0
0,1,0,0,0,1,0,1
0,1,0,1,0,0,1,0
1,1,0,0,0,1,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,1
1,0,0,1,0,0,1,0
0,1,0,0,0,0,1,0
1,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0
1,0,1,1,0,0,0,1
1,0,0,1,0,0,1,0
0,1,1,0,0,1,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0
1,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0
0,0,1,1,0,0,1,0
0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,1,0,0,1
0,1,0,0,0,1,0,0
0,0,1,0,0,1,1,0
0,1,0,0,0,1,0,1
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,1
1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0
1,1,1,1,0,0,1,0
0,1,0,0,0,0,1,0
1,1,0,0,0,0,1,0
1,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0
0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,1
0,1,0,0,0,1,0,1
1,1,0,0,0,0,1,0
0,0,1,0,0,1,1,0
0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,1,0
0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0
0,1,1,0,0,0,1,0
0,1,1,0,0,1,1,0
1,1,1,0,1,0,1,0
1,0,0,0,0,1,0,0
0,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0
0,1,0,0,0,1,1,0
0,1,0,0,0,1,0,0
0,1,1,0,1,0,1,0
1,0,1,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,1,0,1,0
0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0
0,0,0,0,0,1,1,0
0,1,0,1,0,0,0,1
0,1,1,0,0,1,1,0
1,1,1,0,0,1,0,1
1,0,1,0,1,0,1,0
0,1,0,0,0,1,0,0
1,0,0,1,0,0,1,0
1,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0
1,1,1,0,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0
0,1,0,0,0,1,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0
0,1,0,1,0,0,1,0
1,1,0,1,0,0,1,0
1,0,1,0,0,0,1,0
1,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,1
1,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0
1,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,1
1,0,1,0,0,1,1,0
0,1,0,1,0,0,0,1
0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,1
1,0,1,0,1,0,0,1
0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1
0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,1
1,1,0,0,0,1,0,0
0,1,0,0,1,0,0,1
0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0
0,0,0,0,1,0,1,0
1,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0
1,1,1,0,0,1,1,0
0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,1
0,1,1,0,0,1,1,0
1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0
1,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1
0,1,1,0,1,0,1,0
1,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,1,0,0,0,1,0
1,1,0,0,0,0,1,0
0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0
1,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,1
0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0
0,0,1,0,0,1,0,0
1,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0
1,1,0,0,1,0,1,0
0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0
1,1,1,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0
0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0
0,1,0,0,1,0,0,1
1,0,0,0,0,0,1,0
1,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0
1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0
0,1,1,1,0,0,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
1,1,1,0,1,0,0,1
1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1
1,0,0,1,0,0,1,0
1,1,1,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,1,1,0,0,0,1,0
0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0
0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,1,1,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,1
0,1,1,0,0,1,1,0
1,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0
1,0,1,1,0,0,0,1
1,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0
0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0
0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,1
0,1,0,0,0,0,1,0
1,1,1,1,0,0,0,1
0,1,0,0,0,0,1,0
0,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1
1,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1
0,0,1,0,1,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0
0,1,0,0,1,0,1,0
0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0
1,1,0,0,0,0,1,0
1,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1
0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,0
1,0,1,0,0,1,0,0
0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0
0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0
